,,acc,acc,acc,acc
dataname,,CIFAR10,CIFAR100,SVHN,tiny_imagenet_200
model,setting,,,,
DenseNet121,finetune,0.8905,0.6334,0.9516,0.5966
DenseNet121,instance,0.8768,0.6056,0.9515,0.5659
DenseNet121,minmax,0.8889,0.6367,0.9512,0.5917
DenseNet121,pretrain,0.8903,0.6358,0.9491,0.5924
DenseNet161,finetune,0.9091,0.6768,0.9551,0.619
DenseNet161,instance,0.8994,0.6572,0.9537,0.6034
DenseNet161,minmax,0.9087,0.6763,0.9525,0.6245
DenseNet161,pretrain,0.9106,0.6787,0.9546,0.6187
ResNet18,finetune,0.8788,0.6167,0.9501,0.5362
ResNet18,instance,0.8655,0.5764,0.9455,0.5083
ResNet18,minmax,0.8797,0.6118,0.9497,0.5254
ResNet18,pretrain,0.8798,0.6155,0.9517,0.5289
ResNet50,finetune,0.8978,0.6758,0.9439,0.6732
ResNet50,instance,0.8932,0.6469,0.9465,0.654
ResNet50,minmax,0.9023,0.675,0.9449,0.6724
ResNet50,pretrain,0.902,0.6694,0.9448,0.6716
